25_08_2022	Number of Student 30	25_08_2022    10:44:57
1HK19CS061	Present	
1HK19CS062	Present	
1HK19CS063	Present	
1HK19CS064	Present	
1HK19CS065	Present	
1HK19CS066	Present	
1HK19CS067	Present	
1HK19CS068	Present	
1HK19CS069	Present	
1HK19CS070	Present	
1HK19CS071	Present	
1HK19CS072	Present	
1HK19CS073	Present	
1HK19CS074	Present	
1HK19CS075	Absent	
1HK19CS076	Absent	
1HK19CS077	Absent	
1HK19CS078	Absent	
1HK19CS079	Absent	
1HK19CS080	Absent	
1HK19CS081	Present	
1HK19CS082	Present	
1HK19CS083	Present	
1HK19CS084	Present	
1HK19CS085	Absent	
1HK19CS086	Absent	
1HK19CS087	Absent	
1HK19CS088	Present	
1HK19CS089	Present	
1HK19CS090	Absent	
